"Xyleborus affinis","Xyleborus posticus","Xylosandrus crassiusculus","Xyleborus ferrugineus","Coptoborus pseudotenuis","Xyleborus obesus","Xylosandrus compactus","Xyleborus glabratus","Euwallacea validus","Xyleborus germanus","Xyleborus seriatus","Xyleborus xylographus","Ambrosiodmus rubricollis","Sampsonius dampfi","Ambrosiodmus obliquus","Euwallacea fornicatus","Ambrosiodmus tachygraphus","Xylosandrus morigerus","mutillatus","Xyleborinus saxeseni"
0.882642246176636,0.845958066134288,0.95251578817965,0.930648358919487,0.999537252071801,0.913036253145522,0.957591777622685,0.999999910961169,0.99073984765132,0.910156105975706,0.932532361717517,0.999958111090883,0.995542400911558,0.996732368715807,0.879835242618104,0.943746689888806,0.991211964643651,0.976347524417664,0.970911985791849,0.941975724163926
0.844753624993123,0.758857007999357,0.929027844460263,0.895101509298543,0.998387000136622,0.831702822428103,0.925367479333594,0.999999207519567,0.980158183963193,0.864766027817882,0.879733360312418,0.99976611961727,0.987617246911718,0.989684794386015,0.790851156481026,0.907350843316668,0.975814316885428,0.958578700073321,0.940655161958008,0.902958403874155
0.818274702486262,0.694385652124537,0.910695358436207,0.867508128053498,0.996655031574709,0.76077825184785,0.897242120350956,0.999997153202631,0.969167196456901,0.830097333263226,0.834473231666787,0.999360601219031,0.977613633955703,0.979908666594394,0.719809352549662,0.877270608276234,0.956733861642991,0.942845371311744,0.911136479388545,0.870451601214983
0.79743997846437,0.643273735922745,0.895199941652157,0.844381421803374,0.994393605543338,0.699349775005616,0.87193197859203,0.999992946653254,0.957997385967307,0.801446984118026,0.794710932171189,0.998695312414863,0.966082029744596,0.967926248000665,0.661336620003045,0.85112168023183,0.935201872894926,0.928439504806473,0.882727196427681,0.842102482237851
0.78008720819226,0.601170623860457,0.881590121035556,0.824254745569891,0.991639763101433,0.646026309561973,0.848792969240001,0.999985742818869,0.946764464879564,0.776822907347676,0.759273569079042,0.997732429201907,0.953372653776537,0.954119989335401,0.612189226954431,0.827803162656799,0.912018630776809,0.915030425157678,0.855545422633921,0.816794098321772
0.765134852777612,0.565590294938639,0.869358272652057,0.80633288630479,0.988423424648819,0.599506814423367,0.827424850497999,0.999974662941506,0.935538178635307,0.755141996010623,0.727369960105208,0.996439764157647,0.939742315708134,0.938803792899323,0.570210210959302,0.806675300353459,0.887766695332994,0.902423526235847,0.829613824338328,0.793864055382339
0.751953967295794,0.534955118173374,0.85819355461126,0.790123207499664,0.984770540673773,0.558685496647707,0.807550076957175,0.999958800612315,0.924364584067997,0.735732904046816,0.698423197769958,0.99478947867225,0.925392784641091,0.922248093848791,0.533885560467335,0.787318962917043,0.862890042795946,0.890489442783337,0.804911277512256,0.772871506887271
0.740142436887856,0.508194261558101,0.847888384358217,0.77529385901624,0.980704614429035,0.522650254024814,0.788962868533683,0.999937225907905,0.913275728826573,0.71814379223523,0.67199259790411,0.99275739521886,0.910488728098983,0.904690927530199,0.502112251979155,0.769438290969173,0.837733496155945,0.87913536301432,0.781395144742096,0.753501344334609
0.729425715329535,0.484545439866527,0.838295563823911,0.76160797456345,0.976247530564275,0.490655516838906,0.77150364175667,0.999908988437487,0.902294618387302,0.702052732070057,0.647730835621497,0.990322601873886,0.895167538603221,0.886343586580025,0.474063645829286,0.752813493920067,0.812566353494925,0.86829112051177,0.759012347872976,0.735517100245344
0.719607058832031,0.463446195088717,0.829306003782867,0.748889135016113,0.971420039511543,0.46209219380005,0.755044592907271,0.999873119711386,0.891438060251405,0.687220538803853,0.62535785893285,0.987467214971798,0.879545355321415,0.867393930473006,0.449106025681665,0.737275098750318,0.787598415273262,0.857901606570637,0.737705336096625,0.718734935706775
0.710540130073343,0.444469644837934,0.820836071209653,0.737001581199636,0.966242053025103,0.436461073940989,0.739480869937986,0.999828635059574,0.88071842509847,0.67346369008844,0.604643863190545,0.984176232119453,0.863721086152635,0.848008620758359,0.426744339607907,0.722688672244289,0.762991777562884,0.847922266449292,0.71741545122701,0.703008034597572
0.70211281754465,0.427284307423248,0.8128199035254,0.72583810424031,0.960732828489247,0.41335094351336,0.724724822392504,0.999774535238444,0.870144803172616,0.660637728410861,0.58539760461006,0.980437437529265,0.847779284682375,0.828334858309374,0.406585617143512,0.708945168065018,0.738869964511223,0.838316250596132,0.698084861577115,0.688216643075107
0.694237137964033,0.411627843639367,0.805204488159505,0.715312242299351,0.954911084256285,0.392421097592392,0.710702072386797,0.999709807814736,0.859723798895484,0.648626556466007,0.567458067963415,0.976241336573547,0.831792323617763,0.808501892399502,0.388313568713382,0.695954521065252,0.715325220065522,0.829052520703728,0.679657666752834,0.674261398610896
0.686842649070868,0.397289267744047,0.797946376366852,0.705353039180611,0.948795070618539,0.373387521561251,0.697348725412183,0.999633428386537,0.849460096968662,0.637335243957111,0.550688346906549,0.971581104679851,0.815822108919457,0.788622425750118,0.371670512294684,0.683641225886437,0.692424432341261,0.820104539032639,0.662080505045053,0.661058686726725
0.679871992500251,0.384096532321706,0.791009410703188,0.695901401387817,0.942402611522604,0.356012005174781,0.684609327740466,0.99954436168338,0.839356877636346,0.626685027952197,0.534971040941223,0.966452540567374,0.799921477297009,0.768793967557632,0.356444242371105,0.671941185114098,0.670213991708995,0.811449330928694,0.645302855680066,0.648537305639756
0.673277784054558,0.371907643285999,0.784363106903204,0.686907492629394,0.935751126713813,0.340093555950243,0.672435331521533,0.999441562575813,0.829416128687388,0.616609738135287,0.520204724511058,0.960854016932164,0.784135364422717,0.749100150610291,0.3424583152558,0.660799401113935,0.648723791369835,0.803066795462659,0.629277151768389,0.636636006689971
