"Pest","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error.1","z value.1","Pr(>|z|).1","2.5 %.1","97.5 %.1"
"Weed101",1.99236768111074,2.54614393305421,0.63265695500137,0.550578085761101,-2.99798272713068,6.98271808935216,-1.34784978306866,1.06682888709996,-1.22291479667944,0.247134302030888,-3.43879597945154,0.743096413314213
"Weed1278",33.6013652154368,7.80660717647758,4.09134638434604,0.0297019471780906,18.3006963080888,48.9020341227848,-15.498270487867,3.51792341368141,-4.24334435061082,0.0609734503602689,-22.3932736790528,-8.60326729668125
"Weed1279",1.83055762918923,2.75233684730418,0.605273459938541,0.55253007404695,-3.56392346484947,7.22503872322793,-2.20778309297009,1.20367997940327,-1.93214760797552,0.0631858024573435,-4.56695250151241,0.151386315572227
"Weed1280",128.424798508288,57.3853235091877,2.35226763017103,0.0225568656067989,15.9516311891004,240.897965827476,-59.754265660131,26.6781590080483,-2.39479785785396,0.0224958773052505,-112.042496489738,-7.46603483052356
"Weed1281",3.54930661876649,7.32909207313747,0.486249661460159,0.629984106419919,-10.8154498839609,17.9140631214939,-3.14562750686618,3.12844735437509,-1.94027744951723,0.143602051306948,-9.27727164897098,2.98601663523862
"Weed1282",2.47994308100035,3.46453461405373,0.734729298261473,0.47029208003897,-4.31041998573735,9.27030614773804,-2.27027863599379,1.49169894664957,-1.77739052257418,0.100414489058682,-5.19395484720329,0.653397575215704
"Weed1283",4.83209410039037,5.91191868162531,0.894747109144935,0.383712198310279,-6.75505359512475,16.4192417959055,-3.43055486469818,2.5500120852801,-1.50178576111072,0.158613211797354,-8.42848671198907,1.5673769825927
"Weed1284",6.67389780712564,3.3556722115274,1.91169298959643,0.133009933030949,0.0969011286100605,13.2508944856412,-3.63356293703929,1.44256111316881,-2.60815202957265,0.0346948694842287,-6.46093076434818,-0.806195109730405
"Weed1285",10.319287001841,3.82787522352236,2.4445792733799,0.0880273194104953,2.81678942642392,17.821784577258,-5.69142909789911,1.68586633502344,-3.20480362939913,0.0220321915300423,-8.99566639729359,-2.38719179850463
"Weed1286",6.37143705714649,4.47400704024307,1.45282819260277,0.201855912916554,-2.39745560830857,15.1403297226016,-3.83202514679896,1.93069714983049,-2.3500527444283,0.0572071597930759,-7.61612202552086,-0.047928268077064
"Weed1287",36.1404029794781,29.5788196105698,1.76042643118686,0.144632114078168,-21.8330181624458,94.1138241214021,-17.7448515428425,13.7495669946112,-1.91097190307974,0.132768118579079,-44.6935076553011,9.20380456961602
"Weed1288",33.967768273118,4704.04575031369,2.43066434659833,0.169029869298859,-9185.79248397041,9253.72802051664,-19.5768165745133,2565.27116936077,-2.84865054506583,0.166557540863598,-5047.41591910058,5008.26228595155
"Weed1472",2.77057619721243,3.89631075772327,0.714417824223775,0.475462743236154,-4.86605256050115,10.407204954926,-3.18218231808234,1.67749530764395,-1.90581873409201,0.0582953023124667,-6.47001270529943,0.105648069134748
