"Pest","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error.1","z value.1","Pr(>|z|).1","2.5 %.1","97.5 %.1"
"Viroid1452",25.5176777315028,671.162764526392,1.59320821544736,0.21373009855419,-1289.93716850456,1340.97252396757,-11.315686480332,268.501288981545,-1.68071634973326,0.203238771835288,-537.568542686742,514.937169726078
"Viroid159",208.692775699008,404747.55927104,0.000517576699096357,0.999587033561353,-793081.94622603,793499.331777428,-94.081940169679,179025.897103245,-0.000527061587633332,0.999579465716233,-350978.392562503,350790.228682164
"Viroid1627",137.896160082458,19542.498228027,1.32888437945693,0.307059691197244,-38164.6965347883,38440.4888549532,-59.847898128652,8517.24760525398,-1.35060038040202,0.304079460552285,-16753.3464518365,16633.6506555792
"Viroid3086",184.240482805708,45425.4533511069,1.07645077400049,0.403509295341423,-88848.0120667681,89216.4930323795,-83.9959467990489,20567.8304439533,-1.18753491786825,0.382428929284411,-40396.2028570739,40228.2109634758
"Viroid3092",214.976593013026,83009.1699775498,0.0025897933092352,0.99793364621274,-162480.006949548,162909.960135574,-112.381947349597,43254.7103558432,-0.00259814356459828,0.997926983695322,-84890.056406514,84665.2925118149
