"Pest","FocalHost","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %"
"Mite2460","cinnamomum",15.1409041384068,21.2666364889114,0.711955750327578,0.476492177592715,-26.540937452165,56.8227457289785,-7.30124486833364,8.50743406094529,-0.85821938977478,0.390771331232614,-23.9755092286357,9.37301949196846
"Mite2460","cydonia",2.4757741645436,2.89649937055558,0.85474700588964,0.392691221699849,-3.20126028298826,8.15280861207547,-2.37414975945534,1.27179631958158,-1.8667688551233,0.0619338735579657,-4.86682474150584,0.118525222595152
"Mite2460","ficus",1.72231714763032,2.38458745738928,0.722270488462589,0.470128193312414,-2.95138838683861,6.39602268209924,-2.03610974320611,1.04408961543368,-1.95012929264734,0.0511607106711562,-4.0824877860884,0.0102682996761723
"Mite2460","hevea",1.64750264620088,1.85637843049734,0.887482109862429,0.37481939383568,-1.99093221925089,5.28593751165265,-2.02707666175015,0.829057951922564,-2.44503614861834,0.0144837624144429,-3.65200038861492,-0.40215293488539
"Mite2460","hibiscus",0.992328773903972,1.89505009668321,0.523642501926881,0.600527214226917,-2.72190116449426,4.7065587123022,-1.7129013070336,0.832392316769676,-2.0578052830677,0.039608828732747,-3.34436026891002,-0.08144234515718
"Mite2460","mangifera",1.34339237628567,2.15145431115574,0.624411296730728,0.532357508035895,-2.87338058796301,5.56016534053435,-1.8620645416596,0.939500650013388,-1.98197259537082,0.0474823079118501,-3.70345197913781,-0.0206771041813936
"Mite2460","manihot",1.64750264620088,1.85637843049734,0.887482109862427,0.374819393835681,-1.9909322192509,5.28593751165267,-2.02707666175016,0.829057951922568,-2.44503614861833,0.0144837624144432,-3.65200038861493,-0.402152934885385
"Mite2460","musa",1.5492296818317,2.52568677317672,0.613389474215416,0.539618844177747,-3.40102542982386,6.49948479348727,-1.85060630595955,1.03981997839721,-1.77973720875423,0.0751189780032053,-3.8886160140233,0.187403402104211
"Mite2460","persea",15.1409041384055,21.2666364889118,0.711955750327509,0.476492177592757,-26.5409374521669,56.8227457289779,-7.30124486833318,8.50743406094547,-0.858219389774708,0.390771331232654,-23.9755092286356,9.37301949196927
"Mite2460","pyrus",2.47577416454363,2.89649937055558,0.854747005889649,0.392691221699844,-3.20126028298823,8.1528086120755,-2.37414975945535,1.27179631958158,-1.86676885512331,0.0619338735579643,-4.86682474150584,0.118525222595139
"Mite2474","gossypium",1.58979528594672,2.32674711576971,0.683269477448477,0.494436577406317,-2.97054526209436,6.1501358339878,-2.46842075072268,1.05454089341512,-2.34075393959235,0.0192448459364369,-4.535282922041,-0.401558579404351
"Mite2474","manihot",1.12335705523038,1.94804154896449,0.576659700008716,0.564169361368589,-2.69473422112764,4.9414483315884,-2.28278334478713,0.906147513714056,-2.51921824011922,0.0117615731504868,-4.05879983634719,-0.506766853227067
"Mite2474","persea",2.42899216049406,3.13945933439236,0.773697602604619,0.439109638078303,-3.72423506584305,8.58221938683117,-2.63887261337127,1.29246152668907,-2.04174171445655,0.0411771585763516,-5.17205065708551,-0.105694569657039
"Mite2474","quercus",2.57030725293478,3.63344539490661,0.707402196421571,0.479316572366353,-4.55111486087509,9.69172936674464,-2.88421698418265,1.59694460020484,-1.80608455910912,0.0709051323280573,-6.01417088588985,0.245736917524559
"Mite2490","hibiscus",2.60856483699945,3.38103027037523,0.771529571875128,0.440393101148803,-4.01813272357572,9.23526239757462,-3.43747447442006,1.60324144733214,-2.14407784937208,0.0320266495744329,-6.57976996971292,-0.295178979127206
"Mite2490","quercus",4.7836500465155,9.21521013295158,0.519103740175193,0.603688400277329,-13.2778299240382,22.8451300170692,-4.34740235441002,4.06968796441004,-1.06823972560762,0.28541238943094,-12.3238441929698,3.62903948414978
"Mite2509","cydonia",2.97687738237132,3.75067656117356,0.793690773869308,0.427375472640024,-4.3743135951874,10.32806835993,-2.9653774172106,1.6649422103755,-1.78106927599716,0.0749011342042199,-6.22860418588709,0.297849351465886
"Mite2509","ficus",3.01919530182523,3.6946620793553,0.817177657111219,0.413826908950571,-4.22220930875702,10.2605999124075,-2.97810724828722,1.63673420567412,-1.81954237771956,0.0688287236358298,-6.18604734367326,0.229832847098832
"Mite2509","manihot",1.27214820522994,1.93962890415202,0.655871957005149,0.511906512957243,-2.52945459028091,5.07375100074079,-2.22666976792419,0.890852220582718,-2.49948276097656,0.0124374750214952,-3.97270803581385,-0.480631500034531
"Mite2509","rhododendron",4.39608108666068,8.1877611291255,0.536908810275735,0.591330604990054,-11.6516358404423,20.4437980137637,-3.4348113793306,3.42592305000662,-1.00259443344005,0.316056582708159,-10.1494971711492,3.27987441248798
"Mite2509","theobroma",1.80787173291393,2.38395684924263,0.758349184670974,0.448241969991493,-2.8645978322992,6.48034129812706,-2.44289559684548,1.07023006573293,-2.28258920680994,0.0224545773245692,-4.54050798085395,-0.345283212837002
"Mite337","arachis",2.10104847393128,2.13238074564591,0.985306436583335,0.324473572023414,-2.07834098886136,6.28043793672392,-2.03372566215992,0.949342376642226,-2.1422467933572,0.0321736278687491,-3.89440252937634,-0.173048794943494
"Mite337","corylus",2.9131260505023,2.13297876196887,1.36575483190152,0.172015927728919,-1.26743550274552,7.09368760375011,-2.37602616546811,0.937484017380315,-2.53447111781983,0.0112617210295228,-4.21346107561545,-0.538591255320773
"Mite337","crataegus",21.811191261329,4.79454090689259,4.54917200309489,5.38574087418544e-06,12.4140637614155,31.2083187612425,-10.8723587609318,2.18055433185306,-4.98605267573974,6.16253495335135e-07,-15.1461667176966,-6.59855080416702
