"Pest","intercept","Std. Error","z value","Pr(>|z|)","2.5 %","97.5 %","slope","Std. Error.1","z value.1","Pr(>|z|).1","2.5 %.1","97.5 %.1"
"Fungus2140",1.23028356881667,5.01611093048322,0.0658459882435884,0.688055564164793,-8.60111319738814,11.0616803350215,-1.71785099192418,1.88378508353632,-1.51978116314758,0.199809793118719,-5.41000191026915,1.97429992642079
"Fungus2143",10.4173098083584,17.9899465368613,0.529377191804255,0.597945513814731,-24.8423374876909,45.6769571044077,-5.83174504968317,7.59383991740003,-1.12124351916273,0.360091765583264,-20.7153977921498,9.0519076927835
"Fungus2144",19.2079459557338,8991.16201742886,0.00213631407358696,0.998295469280193,-17603.1457873693,17641.5616792808,-94.5530169312914,29593.2836941068,-0.00319508365170441,0.997450696421285,-58096.323241657,57907.2172077944
"Fungus2158",21.3639436221895,26422.7363694083,0.000808543949555664,0.99935487533621,-51766.2477134148,51808.9756006592,-35.114987756261,27054.3378977927,-0.00129794297272845,0.998964391632031,-53060.642893007,52990.4129174944
"Fungus2160",23.0985013461429,62918.5946699972,0.000367117248363423,0.999707082822106,-123295.081009722,123341.278012414,-23.9932108062021,35724.8136749886,-0.000671611922863576,0.999464131256181,-70043.3413681878,69995.3549465754
"Fungus2161",1.51774359048725,2.72795653648429,0.411910061419598,0.481073536174835,-3.82895297241259,6.86444015338708,-1.96816144839636,1.17156401803416,-1.6756022298867,0.0997840496263533,-4.26438472932634,0.328061832533629
"Fungus2162",23.1415043182506,64267.889873286,0.000360078794618551,0.99971269869531,-125939.608009709,125985.891018345,-23.3882318893361,35917.0142440887,-0.000651174168609669,0.999480438221191,-70419.4425825152,70372.6661187365
"Fungus2165",2130.56051187392,1952.24567618867,1.30563118199996,0.227480320759133,-1695.7707024299,5956.89172617775,-747.393362853836,685.626817003562,-0.685172603053931,0.351847821951888,-2091.19723101565,596.410505307979
"Fungus2167",5.1626768670791,14.3387525967805,0.424360901925063,0.675627533403696,-22.9407618058409,33.2661155399991,-3.51921324866131,5.73780667690925,-1.21997558062843,0.321252808998128,-14.7651076856569,7.72668118833426
"Fungus2168",25.3610873033523,197931.596228507,0.000128130565238678,0.999897766600509,-387913.438923095,387964.161097702,-20.3581720856226,79690.9168029235,-0.000255464147011492,0.999796169103478,-156211.685000793,156170.968656622
"Fungus2226",1.30312146094656,3.15994845106608,0.190926323338399,0.652836987233903,-4.89026369614608,7.4965066180392,-1.95512301849597,1.32819601900278,-1.78571906818021,0.106554864623835,-4.55833938015089,0.648093343158964
