"Xyleborus ferrugineus","Xylosandrus compactus","Sampsonius dampfi","Xyleborus xylographus"
0.999918999534861,1,0.999988917009676,0.999999771547405
0.999787830597343,1,0.999941810950723,0.999997992603024
0.999627372494717,1,0.99984650556043,0.999992842838245
0.999444369920651,1,0.999694551058524,0.999982361387469
0.999242565317928,1,0.999479166160258,0.999964493765985
0.999024415062599,1,0.999194595305413,0.999937113912998
0.998791685393131,1,0.998835803568847,0.999898037610246
0.998545722471691,1,0.998398304702784,0.999845031754268
0.998287594868933,1,0.997878053974411,0.999775821315046
0.998018176710724,1,0.997271376795456,0.999688094886364
0.997738199841652,1,0.996574918895203,0.999579509331243
0.997448288393969,1,0.995785610292099,0.999447693826529
0.997148982703902,1,0.994900638526583,0.999290253501916
0.996840756443037,1,0.99391742833764,0.999104772805014
0.996524029246611,1,0.99283362595,0.998888818684462
0.996199176249293,1,0.991647086732588,0.998639943657381
0.995866535435105,1,0.990355865362826,0.998355688810055
0.995526413403762,1,0.988958207875672,0.99803358676849
0.995179089964985,1,0.987452545140909,0.997671164666728
0.994824821849077,1,0.985837487426308,0.99726594713419
0.994463845740045,1,0.984111819785175,0.996815459318304
0.994096380781764,1,0.982274498065529,0.996317229954774
0.993722630668821,1,0.980324645381559,0.995768794494619
0.993342785406175,1,0.978261548920771,0.995167698294561
0.992957022801846,1,0.976084656985262,0.994511499875102
0.992565509742344,1,0.973793576185157,0.993797774248757
0.99216840328968,1,0.971388068717662,0.993024116319262
0.991765851630686,1,0.968868049677612,0.992188144351073
0.991357994903141,1,0.966233584355509,0.991287503507147
0.990944965918437,1,0.963484885487372,0.990319869451778
0.990526890796802,1,0.960622310427677,0.989282952014094
0.990103889528155,1,0.957646358222577,0.988174498906791
0.989676076469389,1,0.95455766656561,0.986992299493667
0.989243560787013,1,0.951357008622429,0.985734188598586
0.988806446852597,1,0.948045289714887,0.984398050347622
0.988364834597284,1,0.944623543858095,0.982981822035309
0.987918819830626,1,0.941092930146972,0.981483498005146
0.987468494528214,1,0.937454728991393,0.979901133533772
0.987013947091912,1,0.933710338201311,0.978232848707579
0.986555262585945,1,0.929861268925225,0.976476832279911
0.98609252295162,1,0.925909141447191,0.974631345496437
0.985625807203128,1,0.921855680849099,0.972694725875826
0.98515519160647,1,0.917702712546367,0.970665390932398
0.984680749843356,1,0.913452157706385,0.968541841827119
0.984202553161634,1,0.909106028560066,0.966322666932994
0.983720670513653,1,0.904666423617794,0.964006545300745
0.983235168683754,1,0.900135522801737,0.961592250010535
0.982746112405974,1,0.895515582507129,0.959078651395481
0.982253564472895,1,0.890808930605571,0.956464720122729
0.981757585836482,1,0.886017961403763,0.953749530118063
0.981258235701641,1,0.881145130571256,0.950932261320193
0.980755571613167,1,0.876192950050986,0.948012202251262
0.980249649536659,1,0.871163982966296,0.94498875239048
0.979740523933936,1,0.866060838538092,0.941861424338355
0.979228247833419,1,0.860886167025597,0.938629845759544
0.978712872895906,1,0.855642654703859,0.935293761093103
0.978194449476117,1,0.85033301889087,0.931853033019634
0.97767302668035,1,0.84496000303668,0.928307643675726
0.977148652420563,1,0.839526371886453,0.924657695607034
0.976621373465158,1,0.834034906728819,0.920903412452312
0.976091235486718,1,0.82848840074033,0.91704513935184
0.975558283106935,1,0.822889654436145,0.913083343074822
0.975022559938932,1,0.817241471236436,0.909018611861481
0.974484108627171,1,0.811546653157263,0.904851654976892
0.973942970885121,1,0.805807996633964,0.900583301974801
0.973399187530847,1,0.80002828848435,0.896214501671041
0.972852798520665,1,0.794210302018236,0.891746320827428
0.972303842980992,1,0.788356793299069,0.887179942548402
0.971752359238518,1,0.782470497562677,0.882516664393984
0.971198384848809,1,0.776554125797362,0.877757896213931
0.970641956623451,1,0.770610361488846,0.872905157709332
0.970083110655815,1,0.764641857532837,0.867960075729065
0.969521882345553,1,0.758651233317239,0.862924381309876
0.96895830642188,1,0.752641071975383,0.857799906469936
0.968392416965741,1,0.746613917810935,0.852588580766903
0.967824247430917,1,0.740572273894532,0.84729242763258
0.967253830664138,1,0.734518599831562,0.841913560497222
0.966681198924262,1,0.728455309699947,0.836454178717463
0.96610638390058,1,0.72238477015621,0.830916563322667
0.965529416730289,1,0.716309298707633,0.825303072595216
0.964950328015189,1,0.710231162147813,0.819616137500884
0.964369147837643,1,0.704152575152501,0.81385825698598
0.963785905775849,1,0.698075699032188,0.808031993158374
0.963200630918445,1,0.692002640637583,0.802139966369828
0.962613351878508,1,0.685935451413745,0.796184850217296
0.962024096806956,1,0.679876126598396,0.790169366480934
0.961432893405406,1,0.673826604559649,0.78409628001661
0.960839768938498,1,0.667788766268203,0.777968393620575
0.960244750245725,1,0.661764434898842,0.771788542883782
0.959647863752793,1,0.655755375555933,0.765559591053035
0.959049135482531,1,0.649763295117536,0.759284423915792
0.958448591065373,1,0.643789842192577,0.752965944724953
0.957846255749443,1,0.637836607185546,0.746607069179422
0.957242154410254,1,0.631905122463107,0.740210720475631
0.956636311560032,1,0.625996862617019,0.733779824444493
0.956028751356712,1,0.620113244817752,0.727317304787508
0.955419497612583,1,0.614255629253275,0.720826078424959
0.954808573802633,1,0.608425319647478,0.714309050968256
0.954196003072583,1,0.602623563852834,0.707769112327614
0.953581808246643,1,0.596851554511949,0.701209132465322
0.952966011834989,1,0.591110429782772,0.694631957303915
0.952348636040983,1,0.585401274122377,0.688040404797602
0.951729702768141,1,0.579725119124324,0.681437261174324
0.951109233626864,1,0.574082944404769,0.674825277354863
0.950487249940943,1,0.568475678532657,0.668207165554419
