"Sampsonius dampfi","Xyleborus ferrugineus","Euwallacea fornicatus","Xyleborus glabratus","Xyleborus xylographus","Xylosandrus crassiusculus","Xyleborus seriatus","Xyleborinus saxeseni","Xyleborus posticus","Ambrosiodmus rubricollis","Xyleborus germanus","Xyleborus obesus","Xylosandrus morigerus","mutillatus","Coptoborus pseudotenuis","Xyleborus affinis","Ambrosiodmus tachygraphus","Ambrosiodmus obliquus","Xylosandrus compactus","Euwallacea validus"
0.997411931002007,0.929951744552796,0.936919881748923,0.999999927603351,0.999946185256611,0.951818217057313,0.935274784522845,0.936772768848235,0.852124462108608,0.995197127323023,0.912523320959468,0.913546582469972,0.974717342709081,0.971213971652981,0.999525439405017,0.884228748597321,0.990971871226649,0.87761110110227,0.938167145422904,0.992417896012099
0.99159251965114,0.894199791391804,0.897862937414806,0.999999340856385,0.99970861953924,0.928124412201048,0.883931684015015,0.895663598565269,0.766677485454156,0.986783597496806,0.867775559536555,0.832572508389519,0.956102664935654,0.941162405666215,0.998350548057729,0.84650875004912,0.97525201643131,0.787865864975907,0.896891214472514,0.983370636948185
0.983333685266301,0.866484227896961,0.866098543478742,0.999997600551147,0.99921763027528,0.909662758581574,0.839638252981375,0.86184447912862,0.702882302957977,0.976244538998762,0.833460721301442,0.761886361550814,0.939743021025038,0.911796030183002,0.996585220787484,0.820096290234688,0.955837954676527,0.716520613389191,0.862677649055426,0.973789663977802
0.973041525018929,0.843275621960647,0.838784439102037,0.999993998779742,0.998423970539129,0.894075643002082,0.800546284345534,0.832602276474705,0.652019369917411,0.964162242275303,0.80502833547679,0.700611457722877,0.924839509715913,0.883501309623169,0.994283560009675,0.799288665004912,0.933984037419588,0.65796040397807,0.832967563411897,0.963920314671397
0.961019995752049,0.823091040539875,0.814627434228917,0.999987780590991,0.997288206993797,0.880396780793281,0.765580269384846,0.806665570423803,0.609948308019499,0.950904881871622,0.78054391067148,0.647382900944554,0.911021202072274,0.85640551373904,0.991483836002694,0.781943346997708,0.910502270621134,0.608836637804201,0.80654334193757,0.953888953824253
0.947524058909531,0.805127115878182,0.792885031610453,0.999978154354169,0.995777432788479,0.868111144320919,0.734007332886095,0.783288438737382,0.57428214846605,0.936740805323728,0.758952704356091,0.600917789691359,0.89807084047678,0.830537635679036,0.988216908471223,0.7669873302412,0.885981318087276,0.566939900188711,0.782682330841036,0.943773819394412
0.932778288069564,0.788886508317302,0.773075877855882,0.999964298091452,0.993863763456158,0.856903605929893,0.705288587358828,0.761979095686314,0.543495381700937,0.921879535734648,0.739599430468134,0.560122808103712,0.885844614476448,0.805881206246806,0.984509499465744,0.753796028576498,0.860867894080771,0.530727940470731,0.760903658171341,0.933628132965454
0.916984836413968,0.774034403158348,0.754863366269955,0.999945363825789,0.991523536360505,0.846563862433964,0.679009470215085,0.742388954924958,0.516546545513093,0.906490967260165,0.722042173951875,0.524094468800027,0.874239752711413,0.782397136081946,0.980385774001349,0.741969795808126,0.835507404409375,0.499081856954124,0.740863870551464,0.923490189946599
0.900327252619628,0.760331946987165,0.737999549286316,0.999920480792553,0.988736847360714,0.836942874815714,0.654841256627504,0.724258388518742,0.49269066609926,0.890715909978792,0.705965520950844,0.492093193284288,0.863178844593889,0.760035112403215,0.975868199984225,0.731235586105808,0.810168333132622,0.471165859066386,0.722305530299281,0.913388557127988
0.88297249148071,0.747601327138879,0.722294716597734,0.999888757937811,0.985487266732544,0.827930248215819,0.632517491029602,0.707386922902249,0.471375793844655,0.874672575047214,0.691134757272599,0.46351409009653,0.852601302961119,0.738739772813499,0.970978050993547,0.721397615291964,0.785058782485361,0.446340907290225,0.705028781487846,0.903345059235317
0.865072113568231,0.735705772668741,0.707599445860733,0.999849285939993,0.981761655304096,0.81944138959186,0.611818510320988,0.691615447675569,0.452181536104534,0.858460921682247,0.677369534412765,0.437860914419959,0.842458305338743,0.718454210163717,0.965735713310449,0.712310183652357,0.760338624127399,0.424108874896302,0.688874272144884,0.893376634841924
0.846763134700571,0.724537319639871,0.69379332199556,0.999801138898746,0.977550036920021,0.811409709972247,0.592560757735251,0.676814915393286,0.434780443234301,0.842165774885162,0.664527709317495,0.414724560807238,0.832709599298749,0.699122005584542,0.960160877745811,0.703861615848363,0.736128883600891,0.404075067323724,0.67371224564483,0.883496559799077
0.82816874688986,0.714008930006751,0.680777489688384,0.999743375783803,0.972845500943451,0.803781634218776,0.574589121234091,0.6628788091156,0.418912664854519,0.825859183903435,0.65249490934792,0.393765830308809,0.823321381871015,0.680688406049873,0.954272660100316,0.695964233721205,0.712519208002374,0.385922294254847,0.659435231227279,0.873715291733369
0.809399015663541,0.704049199656112,0.668469538418427,0.999675041706726,0.967644118161866,0.796513269401908,0.557771277006775,0.649717923581436,0.4043687157177,0.809602281817234,0.641177512384739,0.374701787454242,0.814264834241736,0.663100986475493,0.948089675757864,0.688547812132095,0.689573910675033,0.369392478347461,0.645952955162084,0.864041074844589
0.790551598586216,0.694598681449603,0.656799873724584,0.999595169059694,0.96194485919635,0.789568101609657,0.541993414079792,0.637256633097074,0.390977406986285,0.793446798896035,0.630497762497705,0.357294996108451,0.805515075228917,0.646309993858023,0.941630084059532,0.681555149180499,0.66733690875297,0.354273328595184,0.633188685334867,0.854480386233019
0.77171249829158,0.685607256167591,0.645709072182327,0.999502778553408,0.95574950816617,0.782915356497675,0.52715693988295,0.625430151239265,0.378597182579006,0.777436323696819,0.620390274170206,0.341345018247114,0.797050392869814,0.630268492762598,0.934911612482721,0.67493897440539,0.645835773318676,0.340388503454998,0.621076536175127,0.845038273550973
