"Coptoborus pseudotenuis","Euwallacea fornicatus","Ambrosiodmus tachygraphus","Xyleborus affinis"
0.861804286027364,0.829269257844924,0.898851762060939,0.998158119742702
0.856307163459114,0.825682853342581,0.893211682005772,0.99806160755224
0.850779082833761,0.822132731618132,0.887453753615559,0.997962752783164
0.845223352911281,0.818618212025151,0.881582568544609,0.997861561812994
0.839643171980282,0.815138636756326,0.87560280111883,0.997758040911588
0.834041629714183,0.811693369554102,0.869519195612559,0.997652196248001
0.828421709041003,0.808281794528844,0.863336553740284,0.997544033896816
0.822786288030797,0.804903315072805,0.857059722402532,0.997433559844022
0.81713814180322,0.801557352859715,0.850693581723141,0.99732077999245
0.81147994445646,0.798243346921133,0.844243033412756,0.997205700166836
0.805814271017753,0.79496075279181,0.837712989490774,0.997088326118526
0.800143599414866,0.791709041717258,0.831108361395172,0.996968663529862
0.794470312467279,0.788487699917552,0.824434049506705,0.996846718018278
0.788796699895275,0.78529622790208,0.817694933110901,0.996722495140121
0.783124960344742,0.782134139830566,0.810895860818166,0.996596000394239
0.7774572034252,0.779000962916225,0.804041641459184,0.996467239225326
0.771795451758337,0.775896236867342,0.797137035469666,0.996336217027072
0.766141643034207,0.772819513364002,0.790186746775409,0.996202939145119
0.760497632072136,0.769770355567012,0.783195415185611,0.996067410879831
0.754865192883375,0.76674833765636,0.776167609299475,0.995929637488914
0.749246020732507,0.763753044396871,0.769107819928318,0.99578962418987
0.74364173419469,0.760784070728882,0.762020454032739,0.995647376162322
0.738053877205862,0.757841021382037,0.754909829171861,0.9955028985502
0.732483921103125,0.754923510510434,0.747780168459337,0.995356196463808
0.726933266652653,0.752031161347555,0.74063559601858,0.99520727498178
0.721403246062566,0.749163605879539,0.733480132927726,0.995056139152925
0.715895124978354,0.74632048453549,0.726317693642955,0.994902793997981
0.710410104458587,0.743501445893625,0.719152082887221,0.994747244511266
0.704949322928778,0.740706146402191,0.711986992989948,0.994589495662252
0.699513858111415,0.737934250114132,0.704826001662003,0.994429552397057
0.694104728930346,0.735185428434622,0.697672570189188,0.994267419639855
0.688722897387834,0.732459359880607,0.690530042026549,0.99410310229422
0.683369270412754,0.729755729851604,0.683401641775106,0.993936605244403
0.678044701678551,0.727074230411048,0.676290474522001,0.993767933356547
0.672749993389728,0.724414560077524,0.66919952552466,0.993597091479835
0.667485898035756,0.721776423625309,0.662131660219264,0.993424084447594
0.662253120111456,0.719159531893643,0.655089624533725,0.993248917078339
0.657052317803005,0.716563601604234,0.648076045485299,0.993071594176767
0.651884104638872,0.713988355186519,0.6410934320431,0.992892120534708
0.646749051105079,0.711433520610234,0.634144176235978,0.99271050093203
0.641647686224319,0.708898831224888,0.627230554486498,0.992526740137501
0.636580499098562,0.706384025605764,0.620354729152184,0.992340842909612
0.631547940414859,0.70388884740609,0.613518750255601,0.992152813997364
0.6265504239142,0.70141304521505,0.606724557385408,0.991962658141016
0.621588327823299,0.698956372421324,0.59997398175106,0.991770380072803
0.616661996249339,0.696518587081883,0.593268748374495,0.99157598451762
0.61177174053772,0.694099451795754,0.586610478402766,0.991379476193674
0.60691784059297,0.691698733582518,0.580000691526302,0.991180859813109
0.602100546163012,0.689316203765292,0.573440808488182,0.990980140082606
0.597320078087079,0.686951637857995,0.566932153670538,0.990777321703947
0.592576629507574,0.684604815456667,0.560475957744945,0.990572409374569
0.587870367046276,0.682275520134664,0.554073360374419,0.990365407788081
0.583201431945286,0.679963539341546,0.547725412955355,0.990156321634762
0.578569941173202,0.677668664305475,0.541433081388515,0.989945155602042
0.573975988496999,0.675390689938975,0.535197248868877,0.989731914374958
0.569419645520165,0.673129414747889,0.529018718684909,0.98951660263659
0.564900962687635,0.670884640743405,0.522898217018478,0.989299225068479
0.56041997025813,0.668656173357,0.516836395737358,0.989079786351028
0.555976679244489,0.666443821358185,0.510833835172902,0.988858291163887
0.551571082322645,0.664247396774924,0.50489104687612,0.988634744186313
0.547203154709869,0.66206671481662,0.499008476345998,0.988409150097527
0.542872855012952,0.659901593799549,0.493186505724501,0.988181513577047
0.538580126046983,0.657751855074651,0.487425456453248,0.987951839305009
0.534324895625418,0.655617322957578,0.481725591887394,0.987720131962471
0.530107077322096,0.653497824660896,0.476087119862753,0.987486396231712
0.525926571205912,0.651393190228374,0.470510195212694,0.987250636796509
0.521783264548822,0.649303252471261,0.464994922231767,0.987012858342406
0.517677032507877,0.647227846906476,0.459541357083463,0.986773065556973
0.513607738781964,0.645166811696643,0.454149510149915,0.986531263130046
0.509575236243953,0.643119987591894,0.448819348321691,0.986287455753967
0.505579367548909,0.641087217873366,0.443550797226202,0.986041648123805
0.501619965719077,0.639068348298346,0.438343743393574,0.98579384493757
0.49769685470627,0.637063227046985,0.433198036359095,0.985544050896418
0.493809849932356,0.635071704670531,0.428113490701664,0.985292270704843
0.489958758808473,0.63309363404102,0.423089888017897,0.985038509070869
0.486143381233635,0.631128870302386,0.418126978831775,0.984782770706219
0.482363510073343,0.629177270822911,0.413224484439949,0.984525060326488
0.478618931618848,0.627238695149003,0.408382098692973,0.984265382651306
0.474909426027659,0.625313004960225,0.403599489712943,0.984003742404485
0.471234767745908,0.623400064025543,0.39887630154816,0.983740144314169
0.467594725913164,0.621499738160757,0.394212155765567,0.98347459311297
0.463989064750264,0.619611895187062,0.389606652981834,0.983207093538102
0.460417543930739,0.617736404890708,0.385059374334105,0.982937650331501
0.45687991893637,0.615873138983718,0.380569882891454,0.982666268239947
0.453375941397438,0.614021971065635,0.376137725008243,0.982392952015173
0.449905359418175,0.612182776586255,0.371762431620608,0.982117706413973
0.446467917887938,0.610355432809321,0.367443519487369,0.981840536198301
0.443063358778609,0.608539818777136,0.36318049237671,0.981561446135362
0.439691421428705,0.606735815276085,0.358972842200019,0.981280440997708
0.436351842814676,0.604943304803014,0.3548200500943,0.980997525563313
0.433044357809857,0.603162171532451,0.350721587454616,0.980712704615658
0.429768699431509,0.601392301284646,0.346676916917993,0.980425982943799
0.426524599076408,0.599633581494389,0.342685493300298,0.980137365342439
0.423311786745387,0.597885901180601,0.338746764487522,0.979846856611993
0.420129991257253,0.596149150916655,0.33486017228298,0.979554461558642
0.416978940452475,0.594423222801426,0.331025153211875,0.979260184994392
0.413858361387033,0.592708010431021,0.327241139284701,0.978964031737127
0.410767980516797,0.591003408871198,0.323507558720919,0.97866600661065
